! year          LOD
! [a]           [ms]
  1963.643      1.288
  1963.645      1.204
  1963.648      1.110
  1963.651      1.012
  1963.654      0.927
  1963.656      0.882
  1963.659      0.879
  1963.662      0.932
  1963.665      1.052
  1963.667      1.239
  1963.670      1.481
  1963.673      1.726
  1963.676      1.920
  1963.678      2.016
  1963.681      2.006
  1963.684      1.898
  1963.687      1.715
  1963.689      1.540
  1963.692      1.399
  1963.695      1.321
  1963.697      1.323
  1963.700      1.402
  1963.703      1.514
  1963.706      1.637
  1963.708      1.742
  1963.711      1.799
  1963.714      1.820
  1963.717      1.795
  1963.719      1.730
  1963.722      1.646
  1963.725      1.542
  1963.728      1.445
  1963.730      1.375
  1963.733      1.336
  1963.736      1.348
  1963.739      1.412
  1963.741      1.564
  1963.744      1.766
  1963.747      2.010
  1963.749      2.236
  1963.752      2.393
  1963.755      2.418
  1963.758      2.327
  1963.760      2.143
  1963.763      1.929
  1963.766      1.757
  1963.769      1.650
  1963.771      1.641
  1963.774      1.700
  1963.777      1.799
  1963.780      1.927
  1963.782      2.047
  1963.785      2.147
  1963.788      2.204
  1963.791      2.215
  1963.793      2.182
  1963.796      2.115
  1963.799      2.029
  1963.802      1.942
  1963.804      1.886
  1963.807      1.866
  1963.810      1.887
  1963.812      1.964
  1963.815      2.095
  1963.818      2.297
  1963.821      2.547
  1963.823      2.792
  1963.826      2.996
  1963.829      3.095
  1963.832      3.064
  1963.834      2.900
  1963.837      2.652
  1963.840      2.401
  1963.843      2.200
  1963.845      2.081
  1963.848      2.042
  1963.851      2.076
  1963.854      2.138
  1963.856      2.196
  1963.859      2.219
  1963.862      2.204
  1963.864      2.154
  1963.867      2.082
  1963.870      1.965
  1963.873      1.843
  1963.875      1.713
  1963.878      1.595
  1963.881      1.518
  1963.884      1.477
  1963.886      1.511
  1963.889      1.605
  1963.892      1.746
  1963.895      1.934
  1963.897      2.149
  1963.900      2.355
  1963.903      2.493
  1963.906      2.539
  1963.908      2.453
  1963.911      2.265
  1963.914      2.043
  1963.916      1.837
  1963.919      1.711
  1963.922      1.681
  1963.925      1.740
  1963.927      1.820
  1963.930      1.912
  1963.933      1.989
  1963.936      2.017
  1963.938      2.011
  1963.941      1.963
  1963.944      1.880
  1963.947      1.772
  1963.949      1.653
  1963.952      1.540
  1963.955      1.451
  1963.958      1.413
  1963.960      1.419
  1963.963      1.494
  1963.966      1.625
  1963.969      1.800
  1963.971      1.998
  1963.974      2.194
  1963.977      2.343
  1963.979      2.428
  1963.982      2.406
  1963.985      2.286
  1963.988      2.110
  1963.990      1.928
  1963.993      1.809
  1963.996      1.781
  1963.999      1.844
  1964.001      1.966
  1964.004      2.103
  1964.007      2.227
  1964.010      2.317
  1964.012      2.358
  1964.015      2.342
  1964.018      2.288
  1964.021      2.197
  1964.023      2.095
  1964.026      1.998
  1964.029      1.921
  1964.031      1.861
  1964.034      1.862
  1964.037      1.903
  1964.040      2.014
  1964.042      2.163
  1964.045      2.335
  1964.048      2.491
  1964.051      2.598
  1964.053      2.638
  1964.056      2.604
  1964.059      2.496
  1964.062      2.327
  1964.064      2.147
  1964.067      2.000
  1964.070      1.919
  1964.073      1.940
  1964.075      2.027
  1964.078      2.139
  1964.081      2.251
  1964.084      2.321
  1964.086      2.333
  1964.089      2.278
  1964.092      2.187
  1964.094      2.054
  1964.097      1.914
  1964.100      1.777
  1964.103      1.659
  1964.105      1.587
  1964.108      1.563
  1964.111      1.598
  1964.114      1.697
  1964.116      1.843
  1964.119      2.036
  1964.122      2.219
  1964.125      2.372
  1964.127      2.449
  1964.130      2.423
  1964.133      2.310
  1964.136      2.135
  1964.138      1.950
  1964.141      1.790
  1964.144      1.697
  1964.146      1.702
  1964.149      1.780
  1964.152      1.932
  1964.155      2.094
  1964.157      2.227
  1964.160      2.313
  1964.163      2.335
  1964.166      2.300
  1964.168      2.222
  1964.171      2.108
  1964.174      2.000
  1964.177      1.907
  1964.179      1.847
  1964.182      1.825
  1964.185      1.860
  1964.188      1.959
  1964.190      2.121
  1964.193      2.335
  1964.196      2.562
  1964.198      2.757
  1964.201      2.879
  1964.204      2.885
  1964.207      2.791
  1964.209      2.605
  1964.212      2.396
  1964.215      2.189
  1964.218      2.046
  1964.220      2.001
  1964.223      2.043
  1964.226      2.147
  1964.229      2.289
  1964.231      2.408
  1964.234      2.492
  1964.237      2.505
  1964.240      2.466
  1964.242      2.384
  1964.245      2.266
  1964.248      2.114
  1964.251      1.968
  1964.253      1.850
  1964.256      1.777
  1964.259      1.759
  1964.261      1.792
  1964.264      1.878
  1964.267      2.034
  1964.270      2.211
  1964.272      2.386
  1964.275      2.546
  1964.278      2.611
  1964.281      2.551
  1964.283      2.368
  1964.286      2.139
  1964.289      1.919
  1964.292      1.767
  1964.294      1.717
  1964.297      1.780
  1964.300      1.915
  1964.303      2.084
  1964.305      2.241
  1964.308      2.375
  1964.311      2.466
  1964.313      2.498
  1964.316      2.455
  1964.319      2.371
